Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
...中,... Zhōng,trong …,,
...之一,…zhī yī,một trong …,,
...之内,... Zhī nèi,nội trong …,,
...之前,... Zhīqián,trước …,,
...之后,... Zhīhòu,sau …,,
...之间,…zhī jiān,ở giữa …,,
...以后,…yǐhòu,sau …,,
...内,…nèi,nội (trong) …..,,
...分之…,…fēn zhī…,phần…,,
...前,... Qián,trước …,,
...后,…hòu,sau …,,
...时,…shí,khi …,,
...来说,... Lái shuō,… mà nói,,
...的时候,... De shíhòu,khi/lúc …,,
...里,…lǐ,trong …,,
…之中,…zhī zhōng,trong …,,
一,yī,số 1,,
一丝不苟,yīsībùgǒu,cẩn thận tỉ mỹ,,
一举两得,yījǔliǎngdé,"nhất cử lưỡng tiện, một công đôi việc",,
一些,yīxiē,"một vài, một số",,
一会儿,yīhuǐ'er,"một hồi, một lát sau",,
一共,yīgòng,"tổng cộng, hết thảy",,
一再,yīzài,"nhiều lần, năm lần bảy lượt",,
一切,yīqiè,"tất cả, mọi thứ",,
一向,yīxiàng,"gần đây, thời gian qua",,
一块儿,yīkuài er,"cùng nhau, cùng một chỗ",,
一如既往,yīrújìwǎng,trước sau như một,,
一定,yīdìng,nhất định,,
一帆风顺,yīfānfēngshùn,thuận buồm xuôi gió,,
一度,yīdù,"một lần, một trân",,
一律,yīlǜ,"giống nhau, như nhau",,
一旦,yīdàn,"một khi, một ngày",,
一本,yī běn,1 quyển,,
一样,yīyàng,"giống nhau, nhất dạng",,
一流,yīliú,"cùng loại, hạng nhất",,
一点儿,yīdiǎn er,một chút,,
一目了然,yīmùliǎorán,vừa xem hiểu ngay,,
一直,yīzhí,"thẳng, luôn luôn, suốt",,
一致,yīzhì,"nhất trí, cùng, đều",,
一般,yībān,thông thường,,
一贯,yīguàn,nhất quán,,
一起,yīqǐ,cùng nhau,,
一路平安,yīlù píng'ān,nhất lộ bình an,,
一辈子,yībèizi,một đời,,
一边,yībiān,"một bên, vừa",,
一部,yī bù,1 bộ,,
丁,dīng,"Đinh, con trai",,
七,qī,số 7,,
万,wàn,vạn,,
万一,wàn yī,"một phần vạn, vạn nhất",,
万分,wàn fēn,"vạn phần, muôn phần, hết sức",,
丈夫,zhàngfū,"trượng phu, chồng",,
三,sān,số 3,,
三倍,sān bèi,"3 lần, gấp 3 lần",,
三角,sānjiǎo,"tam giác, ba góc",,
上,shàng,"trên, phía trên, đi lên",,
上任,shàngrèn,nhậm chức,,
上午,shàngwǔ,buổi sáng,,
上天,shàngtiān,"ông trời, thượng đế",,
上市,shàngshì,"lên thị trường, lên sàn chứng khoán",,
上当,shàngdàng,mắc lừa,,
上游,shàngyóu,thượng du,,
上班,shàngbān,"đi làm, lên ca",,
上瘾,shàngyǐn,nghiện,,
上级,shàngjí,"thượng cấp, cấp trên",,
上网,shàngwǎng,lên mạng,,
上课,shàngkè,"đi học, lên lớp",,
上进心,shàngjìn xīn,lòng thượng tiến,,
下,xià,"sau, dưới",,
下午,xiàwǔ,buổi chiều,,
